image,i,computing time
0,0,13.1326265335083
0,1,26.578428268432617
0,2,52.38717341423035
0,3,102.4803991317749
0,4,206.37194085121155
0,5,400.8956980705261
0,6,799.430939912796
0,7,1604.489816904068
0,8,3204.751638174057
0,9,6482.216069459915
0,10,12839.32611656189
1,0,28.42641520500183
1,1,57.5091826915741
1,2,112.90267872810364
1,3,230.80109429359436
1,4,450.4482970237732
1,5,901.632251739502
1,6,1794.3176357746124
1,7,3668.7878534793854
1,8,7215.3923761844635
1,9,14383.65561914444
1,10,29327.216344833374
